Model,Features,Accuracy,F1-Macro,P-Macro,R-Macro,P-Bearish,R-Bearish,P-Bullish,R-Bullish,P-Neutral,R-Neutral
"XGBoost (lr=0.1, 200 trees)",W2V CBOW (stem),0.6716,0.5425,0.5428,0.5452,0.354,0.302,0.464,0.532,0.811,0.801
"LightGBM (500 trees, leaves=63)",W2V CBOW (stem),0.7014,0.5425,0.578,0.53,0.436,0.236,0.523,0.473,0.775,0.881
Random Forest (200 trees),W2V SG (lem),0.7292,0.5377,0.6112,0.5277,0.467,0.146,0.592,0.501,0.775,0.936
"KNN (k=5, cosine)",W2V SG (stem),0.6862,0.5358,0.542,0.532,0.311,0.253,0.511,0.496,0.805,0.846
"LightGBM (200 trees, leaves=31)",W2V CBOW (stem),0.6768,0.5348,0.5414,0.5325,0.329,0.247,0.509,0.527,0.787,0.824
"Random Forest (500 trees, depth=20)",W2V SG (lem),0.725,0.5343,0.5972,0.5268,0.442,0.146,0.57,0.506,0.779,0.928
"KNN (k=5, cosine)",W2V CBOW (lem),0.6695,0.5337,0.537,0.5313,0.35,0.312,0.464,0.465,0.797,0.816
"XGBoost (lr=0.05, 500 trees)",W2V CBOW (stem),0.6737,0.5322,0.5397,0.5296,0.358,0.267,0.469,0.499,0.791,0.823
MLP (512->256),W2V SG (stem),0.7208,0.5312,0.6074,0.5153,0.456,0.163,0.606,0.447,0.76,0.936
"KNN (k=15, distance)",W2V CBOW (lem),0.7103,0.5299,0.5984,0.5147,0.495,0.191,0.537,0.436,0.763,0.917
"Logistic Regression (L2, C=1)",W2V SG (stem),0.6207,0.5294,0.523,0.5492,0.281,0.399,0.463,0.556,0.825,0.693
"KNN (k=15, distance)",W2V SG (stem),0.7166,0.5285,0.5758,0.5195,0.39,0.16,0.559,0.478,0.778,0.921
"LightGBM (500 trees, leaves=63)",W2V CBOW (lem),0.6904,0.5246,0.5544,0.5148,0.392,0.215,0.499,0.455,0.772,0.875
SVM - LinearSVC (C=1.0),W2V SG (lem),0.6972,0.5246,0.5733,0.5184,0.446,0.174,0.504,0.501,0.769,0.88
Random Forest (200 trees),W2V SG (stem),0.726,0.5231,0.5961,0.519,0.442,0.118,0.571,0.501,0.776,0.938
"XGBoost (lr=0.05, 500 trees)",W2V CBOW (lem),0.659,0.5218,0.5215,0.5233,0.3,0.267,0.466,0.504,0.799,0.799
"Logistic Regression (L2, C=1)",W2V SG (lem),0.6192,0.5218,0.5164,0.5377,0.271,0.378,0.461,0.532,0.817,0.702
"KNN (k=5, cosine)",W2V CBOW (stem),0.6611,0.5195,0.5232,0.5166,0.322,0.288,0.459,0.447,0.789,0.815
"LightGBM (200 trees, leaves=31)",W2V CBOW (lem),0.6558,0.5164,0.5176,0.5172,0.3,0.25,0.465,0.504,0.788,0.798
MLP (256),W2V SG (stem),0.7203,0.5122,0.5925,0.5158,0.439,0.087,0.572,0.535,0.767,0.926
"KNN (k=15, distance)",W2V CBOW (stem),0.7025,0.5108,0.5652,0.4988,0.378,0.156,0.562,0.423,0.755,0.917
"XGBoost (lr=0.1, 200 trees)",W2V CBOW (lem),0.6448,0.505,0.5026,0.5101,0.271,0.24,0.434,0.509,0.804,0.782
"Logistic Regression (L1, C=0.1)",W2V SG (stem),0.5909,0.4931,0.4894,0.5096,0.231,0.323,0.432,0.535,0.805,0.671
MLP (256),W2V SG (lem),0.7129,0.4921,0.5792,0.504,0.439,0.062,0.531,0.527,0.767,0.922
"Logistic Regression (L1, C=0.1)",W2V SG (lem),0.5841,0.4844,0.4818,0.4983,0.222,0.316,0.429,0.509,0.795,0.67
"Random Forest (500 trees, depth=20)",W2V CBOW (lem),0.6962,0.479,0.5562,0.473,0.397,0.108,0.531,0.379,0.74,0.932
SVM - LinearSVC (C=0.1),W2V SG (stem),0.6794,0.4741,0.5197,0.4859,0.328,0.073,0.478,0.512,0.753,0.873
SVM - LinearSVC (C=0.1),W2V SG (lem),0.6826,0.4734,0.5225,0.4854,0.333,0.069,0.48,0.506,0.754,0.88
Random Forest (200 trees),W2V CBOW (lem),0.6946,0.4727,0.576,0.4656,0.47,0.108,0.527,0.351,0.731,0.939
Random Forest (200 trees),W2V CBOW (stem),0.6957,0.4716,0.5605,0.465,0.397,0.101,0.553,0.353,0.731,0.941
"Random Forest (500 trees, depth=20)",W2V CBOW (stem),0.6936,0.4713,0.5405,0.4678,0.342,0.09,0.542,0.382,0.737,0.931
"Random Forest (500 trees, depth=20)",GloVe (lem),0.7087,0.4694,0.7534,0.4532,0.795,0.122,0.762,0.249,0.703,0.989
Random Forest (200 trees),GloVe (lem),0.7061,0.4604,0.7458,0.4474,0.78,0.111,0.756,0.242,0.701,0.989
"Logistic Regression (L2, C=1)",W2V CBOW (lem),0.5401,0.4538,0.4554,0.4739,0.192,0.295,0.391,0.525,0.783,0.602
"Logistic Regression (L2, C=1)",W2V CBOW (stem),0.5217,0.4479,0.4516,0.4734,0.2,0.33,0.38,0.525,0.775,0.566
MLP (512->256),W2V SG (lem),0.703,0.4468,0.5714,0.4587,0.412,0.024,0.576,0.395,0.727,0.957
SVM - LinearSVC (C=1.0),W2V CBOW (stem),0.671,0.445,0.5011,0.4607,0.297,0.038,0.478,0.46,0.728,0.884
SVM - LinearSVC (C=1.0),W2V CBOW (lem),0.6684,0.4325,0.4924,0.4544,0.286,0.021,0.468,0.457,0.724,0.885
"Random Forest (500 trees, depth=20)",GloVe (stem),0.6972,0.4318,0.7345,0.4292,0.759,0.076,0.752,0.221,0.693,0.99
